0	         0
0.0260355	0.002
0.0307692	0.01
0.0319527	0.0127778
0.0331361	0.0155556
0.035503	0.0211111
0.0366864	0.0238889
0.0390533	0.0294444
0.0402367	0.0322222
0.0414201	0.035
0.0426036	0.0385
0.0485207	0.056
0.052071	0.0665
0.0532544	0.07
0.0544379	0.0736364
0.0556213	0.0772727
0.0579882	0.0845455
0.0591716	0.0881818
0.0627219	0.0990909
0.0639053	0.102727
0.0650888	0.106364
0.0662722	0.11
0.0674556	0.114286
0.0686391	0.118571
0.0745562	0.14
0.0757396	0.144375
0.0769231	0.14875
0.0792899	0.1575
0.0840237	0.175
0.0852071	0.180833
0.0863905	0.186667
0.0887574	0.198333
0.0911243	0.21
0.0923077	0.215714
0.0946746	0.227143
0.0970414	0.238571
0.0994083	0.25
0.102959	0.271
0.105325	0.285
0.106509	0.291667
0.107692	0.298333
0.108876	0.305
0.110059	0.311667
0.112426	0.325
0.113609	0.331667
0.114793	0.338333
0.118343	0.358333
0.119527	0.365
0.12071	0.372143
0.12426	0.393571
0.127811	0.415
0.128994	0.421667
0.131361	0.435
0.133728	0.448333
0.134911	0.455
0.136095	0.461667
0.137278	0.468333
0.142012	0.495
0.144379	0.508333
0.147929	0.528333
0.149112	0.535
0.150296	0.543
0.151479	0.551
0.15503	0.575
0.156213	0.581429
0.15858	0.594286
0.160947	0.607143
0.16213	0.613571
0.163314	0.62
0.16568	0.633333
0.166864	0.64
0.168047	0.646667
0.169231	0.653333
0.170414	0.66
0.173964	0.677143
0.175148	0.682857
0.176331	0.688571
0.177515	0.694286
0.178698	0.7
0.182249	0.7175
0.183432	0.723333
0.184615	0.729167
0.185799	0.735
0.190533	0.757857
0.191716	0.763571
0.192899	0.769286
0.194083	0.775
0.19645	0.785
0.198817	0.795
0.201183	0.805
0.202367	0.81
0.209467	0.835714
0.210651	0.84
0.211834	0.84375
0.216568	0.85875
0.217751	0.8625
0.218935	0.86625
0.220118	0.87
0.221302	0.873125
0.224852	0.8825
0.226036	0.885625
0.227219	0.88875
0.228402	0.891875
0.229586	0.895
0.231953	0.901667
0.23432	0.908333
0.236686	0.915
0.23787	0.918333
0.240237	0.925
0.243787	0.93
0.24497	0.931667
0.246154	0.933333
0.248521	0.936667
0.250888	0.94
0.253254	0.945556
0.254438	0.948333
0.255621	0.951111
0.257988	0.956667
0.259172	0.959444
0.261538	0.965
0.263905	0.968333
0.265089	0.97
0.267456	0.973333
0.269822	0.976667
0.271006	0.978333
0.272189	0.98
0.27574	0.983333
0.27929	0.986667
0.281657	0.988889
0.28284	0.99
0.285207	0.992
0.286391	0.993
0.288757	0.995
0.291124	0.997
0.293491	0.999
0.294675	1
0.298225	1
0.386982	1
0.440237	1
0.488757	1
0.581065	1
0.609467	1
0.640237	1
0.642604	1
0.646154	1
0.653254	1
0.654438	1
0.660355	1
0.665089	1
0.666272	1
0.678107	1
0.687574	1
0.694675	1
0.698225	1
0.699408	1
0.710059	1
0.711243	1
0.723077	1
0.732544	1
0.734911	1
0.737278	1
0.743195	1
0.746746	1
0.760947	1
0.766864	1
0.777515	1
0.789349	1
0.792899	1
0.8             1
